registered,Recency,Frequency,Monetary
20,63,1,22
416,704,1,431
432,5,1,441
451,372,1,754
472,705,1,506
491,666,1,605
570,429,1,627
573,6,1,1013
577,662,1,623
654,730,1,985
655,390,1,705
670,729,1,801
674,625,2,1478
746,7,1,920
768,722,1,822
836,708,1,986
856,373,1,1011
883,714,1,1000
887,371,1,1317
888,709,1,981
889,492,1,1115
891,723,1,959
905,695,1,1005
907,253,1,1027
912,679,1,1107
935,403,1,1495
953,715,1,1204
956,701,1,1096
975,702,1,1098
1009,62,1,1096
1026,716,1,1248
1059,370,1,1162
1103,681,1,1635
1129,703,1,1167
1137,719,1,1162
1173,680,1,1812
1182,2,1,1341
1184,688,1,1472
1192,687,1,1589
1220,720,1,1263
1221,645,1,1693
1229,728,1,1349
1234,345,1,1301
1269,694,1,1623
1280,721,1,1321
1299,633,1,1471
1313,699,1,1360
1330,707,1,1416
1341,675,1,1461
1354,639,1,2252
1362,724,1,1510
1365,672,1,1446
1367,717,1,1421
1368,642,2,2942
1376,678,1,1450
1379,8,1,1787
1408,660,1,2132
1424,652,1,2471
1432,1,1,1796
1435,659,1,2417
1437,667,1,2077
1454,698,2,3088
1456,323,1,1529
1459,700,1,1501
1466,692,1,1530
1468,710,1,1543
1470,39,1,2425
1489,697,1,1550
1491,690,1,1538
1506,619,2,3368
1515,646,1,2496
1518,725,2,3206
1538,405,1,1607
1544,9,1,1749
1545,674,1,1969
1552,691,1,1605
1562,669,1,1685
1572,712,1,1650
1576,632,1,2455
1592,693,1,1712
1597,689,1,1746
1598,638,1,3249
1608,365,1,2294
1620,696,1,1708
1628,636,2,3667
1672,411,1,1817
1675,685,1,1815
1676,651,1,2077
1687,658,1,2046
1689,480,1,1842
1693,653,1,3117
1697,402,1,2792
1699,648,1,1865
1700,663,1,1891
1705,686,1,1913
1707,364,3,6653
1708,673,1,2402
1714,671,1,1851
1730,661,2,3921
1745,37,1,2277
1767,657,1,2056
1769,306,1,1834
1777,629,1,2034
1778,677,1,1917
1781,344,1,1977
1799,706,1,1985
1806,644,1,2028
1817,664,1,2133
1819,401,1,3068
1820,366,1,2485
1844,711,1,1927
1867,4,1,2114
1871,656,1,2192
1878,481,1,1996
1897,684,1,2115
1903,670,1,2134
1910,647,1,2210
1918,649,1,2121
1920,640,1,2227
1949,457,1,2429
1953,628,1,2162
1977,324,1,2169
2027,351,1,2311
2046,374,1,2209
2047,369,1,2302
2071,316,1,2689
2081,350,1,2298
2085,355,1,2177
2108,643,1,2425
2115,36,2,5775
2137,465,1,2395
2147,363,1,2236
2160,352,1,2493
2169,368,1,2423
2170,439,1,2424
2186,624,1,3744
2199,446,1,2416
2211,379,1,2431
2213,610,1,3351
2216,683,1,2475
2243,650,1,2703
2261,400,1,3071
2270,357,1,2376
2273,362,1,2368
2287,343,1,2432
2290,0,1,2729
2298,527,1,3285
2302,456,1,2918
2307,38,1,3910
2320,655,1,2744
2339,282,1,3372
2348,682,1,2927
2355,654,1,3239
2366,386,1,2743
2367,547,1,4649
2378,607,1,2633
2381,637,1,3115
2395,635,1,2808
2415,310,1,2732
2419,431,2,7599
2433,582,1,4788
2446,428,1,3331
2448,331,1,2832
2451,3,1,3095
2454,404,1,2566
2464,380,1,2739
2468,391,1,2594
2481,617,1,4191
2482,505,1,3820
2484,626,1,3126
2487,512,1,3785
2493,630,1,3348
2501,231,1,2843
2506,482,1,2710
2507,597,1,3409
2508,367,1,2999
2545,406,1,2765
2549,485,2,8582
2553,376,1,2660
2556,526,1,3606
2570,634,1,3141
2574,618,1,4036
2623,445,1,2913
2624,498,1,3873
2627,315,1,3129
2629,330,1,2947
2646,506,1,4150
2685,337,1,3243
2688,387,1,3190
2693,327,1,2802
2697,421,1,3649
2713,302,2,7140
2720,408,1,3663
2729,85,1,3510
2733,407,1,3520
2738,627,1,3267
2743,417,1,2933
2757,583,1,4758
2760,623,1,3429
2762,435,1,4381
2770,422,1,3926
2773,513,1,4294
2778,519,1,4302
2787,22,1,3228
2792,415,1,4067
2795,622,1,3204
2808,349,1,2935
2809,436,1,4308
2818,398,1,2914
2825,528,1,3387
2826,358,1,3425
2841,375,1,3068
2851,393,1,3485
2874,309,1,3389
2883,317,1,4318
2908,394,1,3614
2914,410,1,3053
2915,548,1,5119
2916,520,1,4475
2919,491,1,4334
2921,470,1,4274
2928,416,1,3368
2931,319,1,3005
2932,603,1,4333
2939,267,1,5169
2948,304,1,3194
2971,596,1,4553
2978,546,1,6043
2993,568,1,4460
3019,252,1,3214
3040,353,1,3214
3048,346,1,3163
3077,471,1,4511
3084,589,1,4660
3100,247,1,4220
3102,604,1,4714
3105,561,1,4744
3107,494,2,7116
3110,303,1,4066
3114,449,1,5511
3115,444,1,3644
3127,479,1,3544
3130,301,1,3333
3132,361,1,3272
3138,540,1,4881
3143,378,1,3403
3147,409,1,3392
3150,296,1,4118
3152,529,1,3784
3162,347,1,3292
3166,501,1,3805
3167,385,1,3310
3172,389,1,3322
3174,450,1,5409
3176,521,1,3846
3185,595,1,3958
3187,339,1,3456
3195,163,1,4459
3197,120,1,5810
3203,468,1,3641
3221,575,1,4906
3222,564,1,3767
3231,473,1,3659
3237,569,1,4966
3240,455,1,3570
3241,311,1,3487
3248,15,2,7809
3253,295,1,4911
3267,348,1,3376
3272,525,1,3840
3277,499,1,5191
3291,430,1,3747
3293,442,1,5041
3296,533,1,5302
3300,616,1,4073
3307,427,1,3669
3308,218,1,6591
3309,580,1,3982
3311,560,1,4010
3312,562,1,5119
3318,443,1,5217
3319,593,1,3855
3325,614,1,3872
3328,322,1,3422
3331,621,1,3944
3341,134,1,4549
3347,611,1,5312
3348,541,2,9376
3352,571,1,3915
3356,500,1,4153
3359,388,1,3620
3363,539,1,4086
3368,384,1,3523
3385,554,1,5305
3392,177,1,4840
3399,381,1,3577
3402,10,1,3623
3413,477,2,9151
3420,555,1,5202
3425,356,2,7211
3427,460,1,3907
3438,588,1,4274
3444,620,1,4189
3445,594,1,4123
3451,359,1,4521
3461,64,2,8433
3464,281,1,4996
3466,463,1,5010
3469,176,1,4672
3473,576,1,5342
3480,511,1,4326
3486,217,1,6043
3488,434,1,4187
3489,613,1,4058
3490,432,1,3894
3498,336,1,3624
3505,534,1,5923
3528,382,1,3709
3534,377,1,3750
3537,518,1,4266
3545,396,1,3727
3547,590,1,5805
3554,609,1,4401
3562,383,1,3740
3563,504,1,4338
3571,333,1,3761
3576,423,1,4046
3578,329,2,7595
3594,213,2,8469
3595,478,1,5345
3596,538,1,4258
3603,448,1,5117
3604,325,1,3831
3605,268,1,6857
3614,314,2,7644
3617,532,1,4458
3628,437,1,4304
3632,600,1,4182
3634,545,1,4665
3643,461,1,4120
3647,464,1,5423
3656,424,1,3974
3658,426,1,4068
3662,420,1,4035
3667,326,1,3830
3672,395,1,3940
3681,219,1,6536
3685,288,1,5892
3688,530,1,4332
3694,274,1,6041
3695,510,1,4602
3698,602,1,4362
3702,104,1,4073
3714,605,1,4608
3717,612,1,4595
3722,615,1,4400
3724,438,1,4195
3725,572,1,4401
3729,224,1,4359
3735,300,1,3956
3746,412,1,4195
3747,43,1,4669
3757,29,2,10113
3767,48,1,4094
3771,570,1,4586
3772,127,1,5255
3777,515,1,4576
3784,522,1,4390
3787,321,1,3922
3788,121,1,6140
3789,531,1,4541
3791,360,1,4098
3803,341,1,4270
3804,418,1,4109
3805,318,1,4154
3808,584,1,4679
3813,467,1,4352
3814,11,1,4128
3816,425,1,4186
3819,606,1,4433
3828,354,1,4097
3829,419,1,4205
3830,290,1,4378
3831,340,1,4075
3833,587,1,4492
3836,34,1,3959
3838,543,1,4592
3840,524,2,9165
3841,332,1,4151
3843,514,1,4866
3845,544,1,4629
3846,558,1,4507
3848,469,2,8990
3852,486,1,4727
3854,507,2,9613
3857,441,1,4570
3875,574,1,4548
3891,413,1,4486
3893,493,1,4661
3896,447,2,9343
3900,342,1,4339
3901,523,1,4656
3905,490,1,4634
3906,57,1,5107
3916,552,1,4648
3919,585,1,4677
3925,497,1,4758
3934,275,1,6235
3946,232,2,10748
3970,454,1,4456
3980,508,1,4792
3981,563,1,4844
3992,433,1,4687
4004,503,1,4725
4008,591,1,4917
4018,472,1,4760
4020,257,1,4367
4022,556,1,4991
4023,476,1,4713
4026,502,1,4694
4028,320,1,4169
4036,451,1,4985
4044,517,2,9635
4052,142,1,6299
4061,559,1,4835
4062,475,1,4763
4069,119,2,10356
4070,573,1,4833
4075,246,1,6304
4083,254,1,6624
4097,236,1,4717
4109,58,2,9941
4110,183,1,5531
4111,169,2,10779
4116,549,1,5362
4122,297,1,4569
4126,452,1,4765
4134,307,1,4363
4138,474,1,4785
4157,567,1,5020
4164,566,1,4891
4169,599,1,4864
4176,328,1,4375
4181,495,1,5130
4185,335,1,4509
4186,459,1,4839
4196,536,1,5084
4220,535,1,5538
4224,128,2,12412
4232,184,2,10655
4238,586,1,4978
4240,30,2,9986
4267,453,1,4826
4275,334,1,4579
4280,16,1,5047
4286,260,1,7132
4316,44,1,5629
4324,90,1,4639
4332,487,1,5115
4340,190,1,6891
4344,197,1,6978
4362,141,1,6544
4370,488,1,5058
4372,458,1,5202
4373,14,1,4585
4374,204,1,6598
4377,551,1,5225
4379,313,1,4773
4380,264,1,4862
4387,240,1,6883
4411,565,1,5180
4414,577,1,5312
4419,114,1,5976
4425,225,1,7129
4429,23,2,10786
4444,155,1,6597
4446,51,2,11635
4451,156,1,6685
4460,294,1,5298
4479,149,1,6824
4484,299,1,4916
4488,550,1,5515
4490,230,1,5115
4494,222,1,5260
4495,202,1,4972
4531,40,1,5146
4546,312,1,5062
4551,249,1,5026
4559,78,1,6639
4562,50,1,6852
4571,279,1,5102
4604,84,1,5478
4614,170,2,12864
4634,185,1,5463
4653,269,1,6460
4659,24,1,5008
4663,276,1,5459
4665,261,2,12450
4671,73,1,5424
4680,266,1,5585
4681,289,1,7836
4692,71,1,6824
4709,54,1,5035
4721,143,1,5786
4728,273,1,5936
4739,198,1,7702
4746,263,1,5409
4750,35,1,5087
4763,280,1,5558
4790,205,1,7498
4801,191,1,7458
4807,233,1,7429
4836,179,1,6241
4841,21,3,18780
4857,79,1,7109
4859,192,1,5823
4863,216,1,5743
4866,162,1,7410
4874,92,1,6889
4881,56,1,5259
4884,226,1,8294
4896,298,1,5382
4907,245,1,5572
4914,166,1,5713
4934,12,2,13232
4975,53,1,5315
4990,237,1,5728
5009,19,1,5319
5024,278,1,5698
5035,25,1,5375
5038,135,1,7865
5042,286,1,6093
5050,42,1,5499
5062,33,1,5260
5080,32,1,5323
5085,293,1,5847
5087,244,1,5740
5099,265,1,5918
5100,41,1,5634
5107,18,1,5532
5108,285,1,6230
5115,77,2,11508
5122,47,1,5495
5123,164,1,5870
5124,13,1,5557
5125,46,1,5445
5127,193,1,5905
5146,262,1,6398
5147,61,2,13207
5167,106,1,7333
5171,287,1,6153
5172,49,2,12639
5182,17,1,5611
5187,291,1,6192
5209,65,1,7852
5214,45,1,5698
5219,20,2,11734
5220,55,1,5686
5227,241,1,6296
5229,59,1,5847
5254,223,1,6073
5265,238,2,12730
5283,52,1,5992
5284,72,1,8090
5299,277,1,6133
5306,31,1,5668
5315,292,1,6312
5317,220,1,6734
5323,182,1,6227
5325,212,1,8120
5336,174,1,6290
5339,194,1,6211
5378,271,1,6436
5398,26,1,5729
5424,272,1,6772
5453,99,1,7907
5502,243,1,6169
5504,133,1,6530
5520,60,1,5986
5537,284,1,6871
5541,250,1,6196
5546,235,1,6572
5554,107,1,8714
5571,175,1,6569
5592,116,1,6203
5608,181,1,6660
5640,189,1,6779
5645,157,1,6904
5647,203,1,6664
5656,139,1,6784
5657,113,2,14648
5665,136,1,7148
5676,140,1,6883
5679,28,1,6234
5702,258,1,6691
5703,165,1,6591
5711,221,2,13800
5719,256,1,6565
5742,168,1,6830
5780,147,1,7013
5791,83,1,6392
5825,158,1,6861
5831,161,1,6966
5847,105,2,14044
5857,195,1,6825
5865,167,1,6786
5883,100,1,8395
5893,283,1,8362
5917,122,1,7350
5925,132,1,7006
5927,210,1,6998
5928,126,1,6917
5950,255,1,7290
5958,186,1,6879
5966,93,1,8555
5988,171,1,7499
5995,146,1,7273
5997,118,1,6864
6015,91,1,6778
6028,208,1,7055
6033,209,1,7001
6055,27,1,6606
6065,154,1,7105
6090,144,1,7286
6102,199,1,7665
6105,125,1,7040
6110,215,1,6855
6118,227,1,7639
6142,228,1,7384
6149,138,1,7347
6183,200,1,7363
6222,80,1,7282
6228,70,1,7058
6238,214,1,7338
6248,153,3,22373
6257,129,1,7582
6258,187,1,7335
6262,66,1,7444
6267,137,1,7605
6271,145,1,7534
6278,151,1,7261
6280,117,1,7112
6281,131,1,7375
6289,173,1,7264
6365,188,1,7442
6370,94,1,7415
6402,130,1,7765
6407,112,1,7525
6414,172,1,7446
6433,229,1,7424
6435,98,1,7436
6437,88,1,7328
6452,160,1,7592
6456,207,1,7494
6459,115,1,7504
6482,75,1,7461
6484,67,1,7359
6501,74,1,7509
6506,152,1,7580
6520,124,1,7697
6541,123,1,7713
6612,76,1,7534
6625,69,1,7466
6630,108,1,8009
6640,87,1,8156
6642,95,1,7393
6693,97,1,7538
6697,111,1,7767
6736,81,1,7570
6750,109,1,7804
6781,102,1,7720
6790,159,1,8173
6803,103,1,7591
6820,110,1,7870
6844,89,1,7572
6898,68,1,7693
6911,82,1,7691
6917,101,1,8167
6946,96,1,7733
